account_id,name,balance
GB58IJZK11446773330104,Lydia Nelson,7360
GB77YQCX84624275155233,Eric Peterson,9080
GB73MRCQ23931260160247,Madison Strickland,4960
GB16EQHZ80851931868957,Danny Lee,8370
GB95KXAT40128933350069,John Stanley Jr.,1490
GB42WWLT68472749312326,Whitney Butler,3960
GB87LVFG17755131028591,Craig Day MD,1230
GB19LWIC68819968522056,Angela Frye,5680
GB92KQLK15953271957662,Christopher Sutton,2570
GB73PXUQ78115100527386,Eric Wilkerson,1850
GB08PFNZ80483901891830,Joseph Hicks,6690
GB21XSRP25939629392937,Maria Atkins,8370
GB78YQIQ87355442377272,Carolyn White,1170
GB42NKBG61680852245620,Jessica Hendricks,6470
GB41YIGN83573798228928,Joe Shaw,6020
GB64KMTN68796775514230,Michelle Pruitt,4950
GB47AIPK62778867699048,Michelle Johnson,6190
GB58OOUC73599992342221,Emma Sanchez,7370
GB45ECJL58906274999206,Bonnie Romero,6530
GB79XPCS00153959205967,Christopher Peterson,4470
GB78QTBD19426145714704,Christine Gibbs,2020
GB71KOYB24095962325523,James Elliott,3110
GB29FGXE21060166778831,Lisa Mitchell,4870
GB76UXEU86077956891587,Cody Andrews,430
GB16CUJW11873986678812,Sherry Lara,430
GB46LRHC48336559807010,Tyler Gordon,1900
GB50BCSK54184458527014,Michael Wilkins,6410
GB62SPAH93209086099814,Travis Fletcher,990
GB60FBUH47510162484639,Lori Spencer,1360
GB78GODX25928323885939,Kyle Mccormick,870
GB05QZKS69917963825820,Sean Livingston,9350
GB67FKDQ90688679175396,Julie Velasquez,2250
GB86FLQI62859656803036,Stephen Andrews,2170
GB22PGLD88083274402115,Bruce May DVM,7620
GB02VTSM50851169546499,Jennifer Carter,6680
GB31ZNWM66603303381787,Susan Doyle,6170
GB52ZOMJ89666979359779,Alicia Trujillo,8110
GB25QZYM74317546296726,Michael Elliott,60
GB05VRWR73235765593559,Stephen Torres,2020
GB05VTFZ20909204306234,Paul Galloway,3680
GB63BUKR00700416543312,Russell Gonzalez,8500
GB92DJRZ20157376401160,Monica Torres,3510
GB40QKHV86869081376527,William Shaw,8790
GB10ZJBQ81868266078612,Nathan Moreno,8840
GB42GHJH83549884975160,Steven Barajas,2780
GB09DQUQ87755803857058,Gary Beck MD,7670
GB32YBPQ89809047203119,Nicholas Christian,480
GB43FXGI33734494558520,Sara Miller,850
GB88ZDBI28464207061807,Cynthia Miller,6390
GB34FXMG42939326193334,Maria Clark,9450
GB65ESLV75818554362499,Michelle Krueger,490
GB88LCZU27743654537481,Tracie Simpson,3080
GB94QJPO92209736708513,Natalie Simpson,4770
GB66OEBQ09317900977535,Brian Tate,920
GB54DFXD34044678916835,Joseph Porter,9300
GB23GSZB45291986546431,Gary Mcdonald,8750
GB62PSWG00612223624442,Marilyn Medina,2540
GB43NMZI71650059062352,Nicholas Jensen,2840
GB31XPUP29937211666862,Anthony Bailey,6850
GB30UUTU58020594623952,Kelly Jackson,1050
GB95WYDN73900508739437,Mrs. Carrie Snyder DDS,9690
GB56VSAI69182915412410,Kristy Ingram,6270
GB45TFWG08301500333040,Raymond Cox,2480
GB80BREK73123760651964,Brandon Norman,7700
GB95SJTT13579140937622,Dustin Mendoza MD,490
GB11MXSU55431759214805,Carrie Bullock,7670
GB69JVFD33620898701486,Nicholas Reyes,5570
GB39ANQA82023413732748,Daniel Mason,7440
GB05YHSV22811647706033,Carol Nolan,6300
GB70HXOR17265872323380,Perry Rodriguez,6510
GB02FNYS35831594490712,Ebony Welch,6530
GB74ZTIA82226315685647,Brandon Bonilla,6510
GB48FLVG71524266535635,Justin Cantrell II,3540
GB89KBYP38853128101664,Timothy Carpenter,6470
GB45LQOL11852117060590,Danny Watts,640
GB36MLOQ13730312643873,Kimberly Franco,4520
GB83FJWZ98330557015851,Sarah Hansen,5340
GB54XVRZ25148066477194,Patrick Stevens,1750
GB57PJSL01530863169230,Alicia Parsons,100
GB68BRRT46030897871900,Andrew Clark,2230
GB26YFAA53235808556073,Beth Reeves,3990
GB68NNZT23313524506017,Carolyn Henderson,9380
GB06JGKQ75832097178962,Jerry Floyd,3690
GB40AOHJ82098668569930,Jose Parker,7780
GB93HCBM95750222363418,Raymond Patrick,7150
GB48UPGX13635432653696,Eric Rivera,6660
GB04UNAY38177132595248,Jeffrey Hanson,2180
GB36ZOHF11303554612958,Charles Fowler,9500
GB68TDBK71983336768854,Brandy Fuller,7060
GB13ERPN56888517302159,Matthew White,630
GB43RLUT48791208199418,Bianca Price,1300
GB60EUJI46460708903763,John Cox,8420
GB30MRYP91359776685917,Tina Robinson,3370
GB89IAAB13253682261947,Alexis Brown,3880
GB92UMMN01852682105040,Kayla Young,3020
GB58DKVY93527628242072,Tina Turner,8800
GB14EOWW67067363376475,Heather Cox,5300
GB24VHUD92426505443714,Harold Stevens,560
GB22GUMQ72664176123052,Samantha Alexander,3330
GB06ZOAL02376369974313,Stacey Lynch,4030
GB45QSCY82890955516179,Matthew Hughes,9620
GB39JBVP10971286127858,Ethan Edwards,710
GB66FAGL11274240222364,Joshua Robinson,5410
GB66ZKOT83141813216476,Christopher Castro,9480
GB58YBOQ50604718160827,Kelli Pratt,9950
GB17PHGN76555128914481,Randy Waters,2970
GB91MNCY94638380815352,Denise Freeman,3950
GB47DAMW39599956436883,Carl Baker Jr.,40
GB06BWGL20947401282272,Angela Cole,3150
GB47CBIT43824056647724,Adrian Henderson,2990
