Transfer_id,account_id,service,amount,Date
RORBGBDY,GB79SQQO14044473107837,Transport,970,2022-01-5
HMWVGBQH,GB30CEHJ18185935869825,Shopping,190,2022-01-14
XQJDGBQD,GB35JYOE43232459320499,Entertainment,170,2022-01-3
XNZZGB5P,GB19WURR58138038349040,Shopping,190,2022-01-21
XWRKGB20,GB06XWMN46633962703739,Supermarket,810,2022-01-5
DGAGGBRT,GB74OQDS46588153801674,Shopping,500,2022-01-6
BPEVGB7T,GB70FTAK75368776045346,Shopping,390,2022-01-20
CVDZGBCQ,GB08JXXX32895893863628,Entertainment,320,2022-01-11
ACWUGBRZ,GB35LHSZ04472104823333,Shopping,480,2022-01-22
WQXMGBJ6,GB06XBIQ20408064418696,Supermarket,140,2022-01-19
FMSJGB8D,GB70NSHL57260051979826,Food,230,2022-01-5
DKLPGB9M,GB05SCBI54496194093874,Entertainment,870,2022-01-1
APSAGBWC,GB95ZEZS29836675415353,Supermarket,100,2022-01-18
HMWFGBLT,GB70QIDI15415161273357,Transport,580,2022-01-9
GBNWGBIK,GB36ORXK76311195147473,Transport,540,2022-01-28
NKHFGBUU,GB06UEGN13999904168733,Food,600,2022-01-7
WVWHGB0D,GB48DJED24856080363215,Shopping,140,2022-01-15
BOSRGBOA,GB65EVVW92596474340638,Supermarket,500,2022-01-21
PKXEGB5B,GB22PGLD88083274402115,Transport,290,2022-01-2
QEBFGB07,GB02JQJS23210882753147,Transport,140,2022-01-8
EMGQGBA1,GB10ZJBQ81868266078612,Shopping,470,2022-01-27
TNAEGBOD,GB19SYCC40480016246574,Transport,910,2022-01-15
SFAEGB19,GB52UPDP96919931843847,Food,280,2022-01-10
WVZMGBGU,GB65SPFX66808956213333,Entertainment,710,2022-01-11
NOTGGBSO,GB14HQVA86482235816558,Shopping,960,2022-01-3
ICGZGBST,GB87LVFG17755131028591,Entertainment,990,2022-01-1
WUGYGB0N,GB60XOON42625224559435,Food,990,2022-01-25
THIDGBGR,GB89VWIK11375987183801,Supermarket,280,2022-01-10
LRBJGB4U,GB67FKDQ90688679175396,Shopping,470,2022-01-9
IDHTGBRS,GB75EJTF26737075786487,Supermarket,740,2022-01-5
CQDNGBVV,GB09HTHW11821470125290,Entertainment,870,2022-01-26
WPSDGBVP,GB59JTIC06440138237523,Entertainment,580,2022-01-8
CWBHGB28,GB43NNXQ84231842008440,Food,980,2022-01-2
SLGQGBGX,GB75EJTF26737075786487,Entertainment,740,2022-01-1
OVPKGBFJ,GB29VNJI31238581546539,Shopping,720,2022-01-29
JDAAGB0Z,GB85GXSI85896490261536,Food,380,2022-01-26
BNZFGBM9,GB58EHOJ21753406863295,Entertainment,990,2022-01-13
VJVVGBNH,GB12TMJX05731633135017,Supermarket,180,2022-01-17
ZNRXGBMO,GB25UWSR90507987482408,Supermarket,880,2022-01-13
EVKXGBYA,GB16TOSB15167157285437,Supermarket,460,2022-01-6
LLBYGB1H,GB61ZOFX15306434788343,Shopping,640,2022-01-6
VONBGBS7,GB59JTIC06440138237523,Food,470,2022-01-20
KBQQGBT8,GB70NUWR72153622486497,Shopping,950,2022-01-23
PXNUGBBC,GB05WQIK47310655373531,Shopping,940,2022-01-30
OFYVGBSN,GB41GMDR53001238686520,Shopping,500,2022-01-19
YIHWGBSZ,GB71GOQD50667747708186,Entertainment,880,2022-01-30
FNIVGB4J,GB44BUKB34698213116022,Transport,710,2022-01-4
GJTFGB3X,GB07GZCI31622488135174,Food,990,2022-01-14
